Team_Year,Games,Wins,Losses,Fumbles_Recovered,Defensive_Rank,Defensive_Plays,Yards_Allowed,Total_TDs_Allowed,Avg_Sacks_Per_Game,Offensive_Rank
Bowling Green (MAC)_2015,14,10,4,7,86,1084,5849,50,2.57,4
Buffalo (MAC)_2015,12,5,7,7,81,876,4961,43,1.33,71
BYU (FBS Independent)_2015,13,9,4,7,23,918,4494,38,2.62,49
California (Pac-12)_2015,13,8,5,12,108,967,5898,48,2.08,8
Central Mich. (MAC)_2015,13,7,6,11,16,841,4319,37,2.15,63
Cincinnati (AAC)_2015,13,7,6,5,78,917,5312,51,2,6
Clemson (ACC)_2015,15,14,1,9,10,968,4695,41,1.2,11
Colorado (Pac-12)_2015,13,4,9,8,85,948,5420,44,3.15,67
Duke (ACC)_2015,13,8,5,9,60,956,5131,42,1.38,36
East Carolina (AAC)_2015,12,5,7,8,66,894,4811,39,2.42,55
Eastern Mich. (MAC)_2015,12,1,11,8,122,888,6231,68,2,78
FIU (C-USA)_2015,12,5,7,9,76,854,4873,47,2.25,106
Fla. Atlantic (C-USA)_2015,12,3,9,9,70,877,4861,44,2.17,81
Florida (SEC)_2015,14,10,4,11,8,933,4343,30,3.29,111
Florida St. (ACC)_2015,13,10,3,7,19,936,4380,26,2,51
Ga. Southern (Sun Belt)_2015,13,9,4,10,21,803,4395,39,0.62,46
Georgia (SEC)_2015,13,10,3,10,7,835,3977,26,1.15,83
Georgia St. (Sun Belt)_2015,13,6,7,7,74,995,5273,44,2.54,43
Georgia Tech (ACC)_2015,12,3,9,8,42,759,4416,38,1.33,80
Houston (AAC)_2015,14,13,1,14,53,980,5370,36,2,20
Idaho (Sun Belt)_2015,12,4,8,11,117,839,5852,66,2.42,44
Illinois (Big Ten)_2015,12,5,7,8,30,860,4210,34,1.67,88
Indiana (Big Ten)_2015,13,6,7,10,120,1038,6623,65,1,14
Iowa (Big Ten)_2015,14,12,2,8,22,962,4774,32,2.14,72
Iowa St. (Big 12)_2015,12,3,9,8,107,883,5441,51,3.5,58
Kansas (Big 12)_2015,12,0,12,9,127,967,6730,72,3.33,114
Kansas St. (Big 12)_2015,13,6,7,11,105,942,5879,52,2.69,112
Kent St. (MAC)_2015,12,3,9,6,27,864,4201,40,1.08,126
Kentucky (SEC)_2015,12,5,7,9,59,853,4730,41,2.5,89
La.-Monroe (Sun Belt)_2015,13,2,11,9,92,979,5496,61,2.92,122
Louisiana (Sun Belt)_2015,12,4,8,6,89,848,5050,49,1.75,77
Louisiana Tech (C-USA)_2015,13,9,4,9,48,924,4886,42,1.54,21
Louisville (ACC)_2015,13,8,5,9,18,898,4326,39,3.38,54
LSU (SEC)_2015,12,9,3,7,25,806,4166,38,1.42,39
Marshall (C-USA)_2015,13,10,3,13,35,997,4680,28,1.62,64
Maryland (Big Ten)_2015,12,3,9,9,90,906,5054,53,2.08,87
Massachusetts (MAC)_2015,12,3,9,5,103,947,5374,45,2.42,65
Memphis (AAC)_2015,13,9,4,10,77,960,5287,46,1.31,19
Miami (FL) (ACC)_2015,13,8,5,10,69,911,5263,43,1.46,68
Miami (OH) (MAC)_2015,12,3,9,7,68,863,4855,48,2.33,109
Michigan (Big Ten)_2015,13,10,3,2,4,818,3649,24,1.38,69
Michigan St. (Big Ten)_2015,14,12,2,13,26,895,4898,39,1.5,73
Middle Tenn. (C-USA)_2015,13,7,6,8,74,966,5273,44,1.31,32
Minnesota (Big Ten)_2015,13,6,7,8,24,917,4497,40,1.46,103
Mississippi St. (SEC)_2015,13,9,4,1,56,955,5085,34,2.46,31
Missouri (SEC)_2015,12,5,7,7,6,838,3624,22,2.5,124
Navy (AAC)_2015,13,11,2,15,40,839,4744,36,1.08,48
NC State (ACC)_2015,13,7,6,9,29,828,4559,43,3,57
Nebraska (Big Ten)_2015,13,6,7,5,64,885,5205,45,1.08,34
New Mexico St. (Sun Belt)_2015,12,3,9,10,124,923,6267,71,3,42
North Carolina (ACC)_2015,14,11,3,9,95,1110,6103,44,1.14,18
North Texas (C-USA)_2015,12,1,11,14,119,904,6031,66,2.25,117
Northern Ill. (MAC)_2015,14,8,6,7,87,1131,5857,45,2.29,66
Northwestern (Big Ten)_2015,13,10,3,9,13,915,4146,30,2.23,115
Notre Dame (FBS Independent)_2015,13,10,3,5,45,870,4845,40,2,27
Ohio (MAC)_2015,13,8,5,10,49,861,4910,41,2.15,56
Ohio St. (Big Ten)_2015,13,12,1,9,9,899,4047,24,1.46,41
Oklahoma (Big 12)_2015,13,11,2,7,39,989,4738,34,3.15,7
Oklahoma St. (Big 12)_2015,13,10,3,11,99,1004,5708,51,2.46,22
Old Dominion (C-USA)_2015,12,5,7,10,96,926,5247,54,2.42,91
Ole Miss (SEC)_2015,13,10,3,8,54,1029,5016,33,1.46,10
Oregon (Pac-12)_2015,13,9,4,9,116,1046,6309,62,3,5
Oregon St. (Pac-12)_2015,12,2,10,4,115,897,5778,57,1.58,110
Penn St. (Big Ten)_2015,13,7,6,12,14,883,4218,37,3,105
Pittsburgh (ACC)_2015,13,8,5,6,37,829,4721,38,2.23,82
Purdue (Big Ten)_2015,12,2,10,9,110,897,5500,57,2.5,95
Rice (C-USA)_2015,12,5,7,8,102,753,5369,59,3.17,62
Rutgers (Big Ten)_2015,12,4,8,3,111,809,5544,55,2.08,84
SMU (AAC)_2015,12,2,10,5,118,853,6026,75,3.42,76
South Alabama (Sun Belt)_2015,12,5,7,10,83,830,4992,58,2.67,101
South Carolina (SEC)_2015,12,3,9,8,94,856,5158,42,2.17,99
South Fla. (AAC)_2015,13,8,5,8,52,944,4946,35,1.62,35
Southern California (Pac-12)_2015,14,8,6,9,65,984,5611,44,2.71,38
Southern Miss. (C-USA)_2015,14,9,5,11,50,998,5313,42,1.86,12
Stanford (Pac-12)_2015,14,12,2,6,43,926,5156,36,1.43,40
Syracuse (ACC)_2015,12,4,8,12,98,847,5262,46,1.75,118
TCU (Big 12)_2015,13,11,2,12,63,1004,5179,45,1.38,3
Temple (AAC)_2015,14,10,4,6,20,937,4718,31,1.29,96
Tennessee (SEC)_2015,13,9,4,7,36,904,4706,33,1.77,52
Texas (Big 12)_2015,12,5,7,12,106,965,5431,46,2.67,92
Texas A&M (SEC)_2015,13,8,5,7,51,912,4940,33,2.85,50
Texas St. (Sun Belt)_2015,12,3,9,11,123,893,6262,62,1.67,53
Texas Tech (Big 12)_2015,13,7,6,10,126,1031,7120,77,2.08,2
Toledo (MAC)_2015,12,10,2,10,46,888,4498,28,0.42,30
Troy (Sun Belt)_2015,12,4,8,13,57,895,4695,43,1.5,102
Tulane (AAC)_2015,12,3,9,8,80,851,4947,57,2.17,119
Tulsa (AAC)_2015,13,6,7,14,125,1059,6976,66,3.15,13
UCF (AAC)_2015,12,0,12,9,113,851,5569,57,1.92,127
UCLA (Pac-12)_2015,13,8,5,7,67,1044,5222,39,1.15,28
UConn (AAC)_2015,13,6,7,7,33,887,4616,29,2.85,123
Utah (Pac-12)_2015,13,10,3,12,41,921,4768,35,1.77,97
UTEP (C-USA)_2015,12,5,7,7,93,753,5133,51,1,107
UTSA (C-USA)_2015,12,3,9,8,100,893,5329,50,3.67,98
Vanderbilt (SEC)_2015,12,4,8,11,28,814,4206,26,2.33,116
Virginia (ACC)_2015,12,4,8,11,79,793,4938,45,1.75,75
Virginia Tech (ACC)_2015,13,7,6,15,44,867,4808,42,2.62,74
Wake Forest (ACC)_2015,12,3,9,5,38,784,4365,37,3.33,113
Washington (Pac-12)_2015,13,7,6,12,31,933,4574,28,2.54,61
Washington St. (Pac-12)_2015,13,9,4,11,84,938,5411,45,3.15,25
West Virginia (Big 12)_2015,13,8,5,8,61,969,5154,36,2.46,23
Western Ky. (C-USA)_2015,14,12,2,14,72,997,5673,48,1.14,9
Western Mich. (MAC)_2015,13,8,5,8,82,852,5378,49,2.38,17
Wisconsin (Big Ten)_2015,13,10,3,9,2,791,3491,22,1.92,79
Akron (MAC)_2016,12,5,7,6,114,924,5592,50,2.17,84
Alabama (SEC)_2016,15,14,1,13,2,983,3927,21,1.6,34
Appalachian St. (Sun Belt)_2016,13,10,3,1,17,859,4286,28,1.23,52
Arizona (Pac-12)_2016,12,3,9,6,115,923,5632,62,2.33,67
Arizona St. (Pac-12)_2016,12,5,7,8,127,884,6246,61,3.42,81
Arkansas (SEC)_2016,13,7,6,11,76,822,5546,54,2.69,54
Arkansas St. (Sun Belt)_2016,13,8,5,11,29,946,4717,31,2.15,93
Army West Point (FBS Independent)_2016,13,8,5,5,4,744,3789,33,0.77,65
Auburn (SEC)_2016,13,8,5,6,28,928,4705,23,1.46,43
Ball St. (MAC)_2016,12,4,8,7,116,885,5643,46,1.58,37
Baylor (Big 12)_2016,13,7,6,10,81,1032,5601,48,2,6
Boston College (ACC)_2016,13,7,6,15,9,803,4084,44,2.15,127
Bowling Green (MAC)_2016,12,4,8,8,113,882,5571,63,2.08,69
Buffalo (MAC)_2016,12,2,10,8,87,881,5217,49,1.92,111
BYU (FBS Independent)_2016,13,9,4,10,34,860,4745,33,2,71
California (Pac-12)_2016,12,5,7,7,125,927,6219,67,1.33,10
